role,prior,resolution,correct_entrance,correct_slant,correct_xtraverse,correct_ytraverse1,std_error_entrance,std_error_slant,std_error_xtraverse,std_error_ytraverse1,overall_accuracy,overall_accuracy_std_error,overall_accuracy_no_slant,overall_accuracy_no_slant_std_error
role3,lab,high,1.0,0.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.06440611887195305,0.7333333333333333,0.057089922571845024,0.9777777777777777,0.021973921443246423
role1,lab,high,1.0,0.13333333333333333,0.9333333333333333,0.6666666666666666,0.0,0.08777074514725111,0.06440611887195305,0.12171612389003691,0.6833333333333333,0.06005398805642704,0.8666666666666667,0.05067446333773946
role2,lab,high,0.9333333333333333,0.06666666666666667,1.0,0.6666666666666666,0.06440611887195305,0.06440611887195306,0.0,0.12171612389003691,0.6666666666666666,0.06085806194501846,0.8666666666666667,0.05067446333773946
role3,home,high,0.9333333333333333,0.0,0.9333333333333333,0.6666666666666666,0.06440611887195305,0.0,0.06440611887195305,0.12171612389003691,0.6333333333333333,0.062212300796308524,0.8444444444444444,0.05402839267795694
role1,lab,low,1.0,0.0,1.0,0.26666666666666666,0.0,0.0,0.0,0.11417984514369003,0.5666666666666667,0.06397337409104348,0.7555555555555555,0.06406443943833971
role2,lab,low,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06454972243679027,0.6666666666666666,0.07027283689263066
role3,lab,low,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06454972243679027,0.6666666666666666,0.07027283689263066
role1,home,high,0.7333333333333333,0.0,0.6,0.4,0.11417984514369005,0.0,0.12649110640673517,0.12649110640673517,0.43333333333333335,0.06397337409104348,0.5777777777777777,0.07362828823578772
